CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
125,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-05T00:00:00,Alderman Will Burns,500,8061,David,Dring,2012-08-08T00:00:00
147,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-18T00:00:00,40th Ward Organization,100,6922,Robert,Gamrath,2012-08-10T00:00:00
181,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-04-26T00:00:00,Alderman Toni Foulkes,1000,5858,Thomas,Livingston,2012-08-14T00:00:00
187,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-04-24T00:00:00,Citizens for Tunney,500,6039,Michael,Lufrano,2012-08-14T00:00:00
295,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-29T00:00:00,Citizens for Alderman Reilly,200,8482,Daniel,Shomon,2012-08-22T00:00:00
294,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-13T00:00:00,Friends of Will Burns,300,8482,Daniel,Shomon,2012-08-22T00:00:00
342,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-03-01T00:00:00,Alderman Patrick J. O'Connor,1500,7001,Meredith,O'Connor,2012-08-23T00:00:00
422,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-21T00:00:00,Friends of Walter Burnett Jr.,150,8621,Joseph,Pilewski,2012-08-28T00:00:00
354,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-26T00:00:00,Citizens for Tim Cullerton,1000,6116,Michael,Paulos,2012-08-23T00:00:00
353,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-26T00:00:00,Neighbors for Harry Osterman,1500,6116,Michael,Paulos,2012-08-23T00:00:00
356,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-24T00:00:00,"Leslie Hairston, Alderman",150,5728,Lewis,Powell,2012-08-23T00:00:00
302,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-01T00:00:00,Friends of Will Burns,250,6063,Judith,Roettig,2012-08-22T00:00:00
322,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-03-02T00:00:00,Alderman Proco Joe Moreno,250,7771,COURTNEY,NOTTAGE,2012-08-23T00:00:00
321,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-07T00:00:00,Alderman Richard Mell,300,7771,COURTNEY,NOTTAGE,2012-08-23T00:00:00
289,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-23T00:00:00,Friends of Proco Joe Moreno,250,8225,Jerome,Schain,2012-08-22T00:00:00
383,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-11T00:00:00,33rd Ward Regular Democratic Organization,1000,8581,John,"Kelly, Jr.",2012-08-27T00:00:00
546,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-04T00:00:00,Alderman Joe Moreno,250,8750,John,Dunn,2012-08-30T00:00:00
661,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-28T00:00:00,Alderman Tim Cullerton,250,9001,William,Smith,2012-09-14T00:00:00
627,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-13T00:00:00,Citizens for Tim Cullerton,250,7827,Marcus,Nunes,2012-09-07T00:00:00
721,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-09T00:00:00,Friends of Leslie A Hairston,150,9143,Joseph,Gattuso,2012-09-25T00:00:00
702,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-09T00:00:00,Friends of Leslie A Hairston,150,9062,Joseph,Gattuso,2012-09-19T00:00:00
482,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-01T00:00:00,Friends of Will Burns,100,5717,Joseph,McDermott,2012-08-29T00:00:00
582,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-31T00:00:00,Will Burns,300,8845,Elvin,Charity,2012-09-05T00:00:00
571,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-12T00:00:00,The Burnham Committee,1500,8801,John,"Kelly, Jr.",2012-09-04T00:00:00
628,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-27T00:00:00,Friends of Proco Joe Moreno,500,8904,Joseph,Gattuso,2012-09-07T00:00:00
525,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-01T00:00:00,19th Ward Democratic Organization,125,5891,Elizabeth,Lively,2012-08-29T00:00:00
522,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-04-27T00:00:00,Citizens for Munoz,150,5891,Elizabeth,Lively,2012-08-29T00:00:00
513,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-23T00:00:00,Friends to Elect Toni Foulkes,150,5891,Elizabeth,Lively,2012-08-29T00:00:00
623,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-18T00:00:00,Neighbors for Harry Osterman,500,8889,Jerry,Mickelson,2012-09-06T00:00:00
622,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-02-23T00:00:00,Friends of Walter Burnett Jr.,500,8889,Jerry,Mickelson,2012-09-06T00:00:00
767,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-05-30T00:00:00,"Will Burns, Friends of",1000,9300,Lawrence,White,2012-09-27T00:00:00
886,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-25T00:00:00,Sandi Jackson,500,5982,Adrienne,Alexander,2012-10-05T00:00:00
883,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-25T00:00:00,Sandi Jackson,500,5982,Adrienne,Alexander,2012-10-05T00:00:00
812,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-29T00:00:00,Citizens for Alderman Reilly,1000,9353,John,"Kelly, Jr.",2012-10-01T00:00:00
810,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-12T00:00:00,The Burnham Committee,1500,9353,John,"Kelly, Jr.",2012-10-01T00:00:00
824,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-04-07T00:00:00,Citizens for Patrick O'Connor,100,9382,Michael,Lufrano,2012-10-03T00:00:00
1073,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-07-29T00:00:00,Friends of Mary O'Connor,150,7759,Mary,Minaghan,2012-10-15T00:00:00
841,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-28T00:00:00,Friends of Mary O'Connor,115,6063,Judith,Roettig,2012-10-04T00:00:00
922,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-13T00:00:00,Alderman James Cappleman,250,7771,COURTNEY,NOTTAGE,2012-10-09T00:00:00
1042,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-05T00:00:00,Alderman Richard Munoz,250,9582,MICHAEL,KASPER,2012-10-15T00:00:00
1054,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-08-17T00:00:00,Citizens for Pat Dowell,100,5891,Elizabeth,Lively,2012-10-15T00:00:00
1047,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-07-23T00:00:00,Citizens for Joe Moore,125,5891,Elizabeth,Lively,2012-10-15T00:00:00
1157,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-07-26T00:00:00,Danny Solis,500,8750,John,Dunn,2012-10-19T00:00:00
1182,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-07-02T00:00:00,Forty Third Ward Democrats,500,5762,William,Griffin,2012-10-22T00:00:00
1167,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-10-01T00:00:00,Friends of Leslie A Hairston,450,7751,Peter,Cassel,2012-10-21T00:00:00
1290,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-08-30T00:00:00,Citizens for Pat Dowell,250,5716,Stacy,Davis Gates,2012-11-01T00:00:00
1128,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-13T00:00:00,Alderman Ariel Reboyras,1500,6116,Michael,Paulos,2012-10-18T00:00:00
1165,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-13T00:00:00,Citizens for Tim Cullerton,250,9721,Marcus,Nunes,2012-10-20T00:00:00
1821,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-10-22T00:00:00,none,0,9209,Jean-Francois,Decaux,2013-01-15T00:00:00
1822,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-12-13T00:00:00,Carrie Austin,500,8182,Darryl,Denham,2013-01-15T00:00:00
1447,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-08-30T00:00:00,Citizens for Deborah Graham,500,10101,Stacy,Davis Gates,2012-12-13T00:00:00
1701,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-10-25T00:00:00,Alderman John Arena,100,6006,William,Hood,2013-01-09T00:00:00
1511,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-05T00:00:00,Alderman Tom Tunney,250,10282,COURTNEY,NOTTAGE,2012-12-21T00:00:00
1942,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-11-07T00:00:00,23rd Ward Regular Democratic Party Organization,500,5762,William,Griffin,2013-01-18T00:00:00
1503,2012-01-01T00:00:00,2012-06-30T00:00:00,2012-06-05T00:00:00,Alderman Will Burns,500,10281,MICHAEL,KASPER,2012-12-21T00:00:00
1401,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-08-29T00:00:00,Danny Solis for Alderman Committee,100,10064,Terrance,Diamond,2012-12-11T00:00:00
1405,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-19T00:00:00,14th Ward Democratic Organization,500,10071,Jeanette,Sublett,2012-12-11T00:00:00
1423,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-13T00:00:00,Alderman Carrie Austin,500,10081,MICHAEL,KASPER,2012-12-12T00:00:00
1422,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-13T00:00:00,"Alderman Walter Burnett, Jr.",300,10081,MICHAEL,KASPER,2012-12-12T00:00:00
1421,2012-07-01T00:00:00,2012-09-30T00:00:00,2012-09-13T00:00:00,Alderman James Cappleman,250,10081,MICHAEL,KASPER,2012-12-12T00:00:00
1803,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-10-16T00:00:00,Citizens for Ervin,250,5891,Elizabeth,Lively,2013-01-14T00:00:00
2086,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-10-05T00:00:00,Citizens for Patrick J O'Connore,500,8124,Stephen,Friedman,2013-01-30T00:00:00
2002,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-10-10T00:00:00,Citizens for Will Burns,1000,11462,Paul,Rosenfeld,2013-01-28T00:00:00
1981,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-12-06T00:00:00,Ald Bob Fioretti (for fundraiser,500,9227,Arnold,Harris,2013-01-22T00:00:00
2105,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-10-10T00:00:00,Rey Colon,250,9910,Jerome,Schain,2013-01-31T00:00:00
2033,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-12-21T00:00:00,Alderman Carrie Austin,500,5788,John,Sterling,2013-01-28T00:00:00
2186,2012-10-01T00:00:00,2012-12-31T00:00:00,2012-11-28T00:00:00,Citizens for Pat Dowell,500,11806,Stephen,Friedman,2013-02-11T00:00:00
2452,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-20T00:00:00,11th Ward Democratic Party Campaign Committee,600,11022,Elizabeth,Lively,2013-04-12T00:00:00
2447,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-01T00:00:00,Friends of Leslie Hairston,150,11022,Elizabeth,Lively,2013-04-12T00:00:00
2550,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,"Alderman Proco ""Joe"" Moreno",300,11509,MICHAEL,KASPER,2013-04-19T00:00:00
2548,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Jason Ervin,300,11509,MICHAEL,KASPER,2013-04-19T00:00:00
2542,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-25T00:00:00,CITIZENS TO ELECT JOHN ARENA,250,12773,William,Banks,2013-04-18T00:00:00
2541,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-01-17T00:00:00,George A. Cardenas,750,11223,Bill,McManus,2013-04-18T00:00:00
2610,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Richard Mell,300,12816,MICHAEL,KASPER,2013-04-22T00:00:00
2628,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-04-22T00:00:00,none,0,12801,Kevin,Mendoza,2013-04-22T00:00:00
2463,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-01-17T00:00:00,George Cardenas,250,11176,Daniel,Shomon,2013-04-13T00:00:00
2582,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-01-31T00:00:00,Beale for Congress,250,11603,Angelica,Marks,2013-04-22T00:00:00
2623,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Proco Joe Moreno,300,12818,David,Dring,2013-04-22T00:00:00
2505,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-03-25T00:00:00,FRIENDS OF MICHELLE HARRIS,250,12729,William,Banks,2013-04-17T00:00:00
2365,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Richard F. Mell,300,11513,David,Dring,2013-04-09T00:00:00
2522,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-06T00:00:00,Friends of Leslie A. Hairston,150,11883,Graham,Grady,2013-04-18T00:00:00
3406,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-05-31T00:00:00,Preckwinkle for President,500,13981,Mara,Georges,2013-07-08T00:00:00
3466,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-06-07T00:00:00,11th Ward Democratic Party,500,12985,David,Dring,2013-07-10T00:00:00
3463,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-06-07T00:00:00,Alderman Joe Moore,250,12985,David,Dring,2013-07-10T00:00:00
3462,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-06-06T00:00:00,Alderman Mike Zalewski,500,12985,David,Dring,2013-07-10T00:00:00
3461,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-05-09T00:00:00,Alderman Will Burns,1000,12985,David,Dring,2013-07-10T00:00:00
3253,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-06-14T00:00:00,Pat Dowell,500,13863,Elvin,Charity,2013-07-01T00:00:00
3501,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-06-24T00:00:00,Friends for Proco Joe Moreno,30,11022,Elizabeth,Lively,2013-07-11T00:00:00
3502,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-05-17T00:00:00,Citizens for Reilly,100,12621,Thomas,Wolf,2013-07-11T00:00:00
2901,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Jason Ervin,300,13041,MICHAEL,KASPER,2013-05-06T00:00:00
3305,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-05-31T00:00:00,Preckwinkle for President,500,13361,Mara,Georges,2013-07-03T00:00:00
3515,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-05-01T00:00:00,Friends of Will Burns,300,14043,Graham,Grady,2013-07-11T00:00:00
2846,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-01-16T00:00:00,Alderman George Cardenas,500,12983,MICHAEL,KASPER,2013-05-01T00:00:00
2845,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-03-12T00:00:00,Alderman Michelle Harris,500,12983,MICHAEL,KASPER,2013-05-01T00:00:00
2842,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Brendan Reilly,500,12983,MICHAEL,KASPER,2013-05-01T00:00:00
2859,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Jason Ervin,300,12985,David,Dring,2013-05-01T00:00:00
2857,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-21T00:00:00,Alderman Richard F. Mell,300,12985,David,Dring,2013-05-01T00:00:00
2982,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-25T00:00:00,Anthony Beale for Congress,25,13281,Danielle,Cassel,2013-05-20T00:00:00
3381,2013-04-01T00:00:00,2013-06-30T00:00:00,2013-06-30T00:00:00,n/a,0,11275,Steven,Ginsberg,2013-07-06T00:00:00
2661,2013-01-01T00:00:00,2013-03-31T00:00:00,2013-02-08T00:00:00,Citizens for Joe Moore,1000,11344,Arnold,Harris,2013-04-23T00:00:00
